ID,WT_DOM,D_TRA1_SYEAR,D_TRA1_SMONTH,D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A8C,A8D,A8F,A8G_1,A4_4,BSEX,BAGE,BINC1,국내_A_여행횟수_관광전체_서울,국내_A_여행횟수_관광전체_부산,국내_A_여행횟수_관광전체_대구,국내_A_여행횟수_관광전체_인천,국내_A_여행횟수_관광전체_광주,국내_A_여행횟수_관광전체_대전,국내_A_여행횟수_관광전체_울산,국내_A_여행횟수_관광전체_세종,국내_A_여행횟수_관광전체_경기,국내_A_여행횟수_관광전체_강원,국내_A_여행횟수_관광전체_충북,국내_A_여행횟수_관광전체_충남,국내_A_여행횟수_관광전체_전북,국내_A_여행횟수_관광전체_전남,국내_A_여행횟수_관광전체_경북,국내_A_여행횟수_관광전체_경남,국내_A_여행횟수_관광전체_제주,국내_A_여행지출_관광전체_서울,국내_A_여행지출_관광전체_부산,국내_A_여행지출_관광전체_대구,국내_A_여행지출_관광전체_인천,국내_A_여행지출_관광전체_광주,국내_A_여행지출_관광전체_대전,국내_A_여행지출_관광전체_울산,국내_A_여행지출_관광전체_세종,국내_A_여행지출_관광전체_경기,국내_A_여행지출_관광전체_강원,국내_A_여행지출_관광전체_충북,국내_A_여행지출_관광전체_충남,국내_A_여행지출_관광전체_전북,국내_A_여행지출_관광전체_전남,국내_A_여행지출_관광전체_경북,국내_A_여행지출_관광전체_경남,국내_A_여행지출_관광전체_제주,연도
23060540011_622000,6643.444450524459,2025.0,6.0,31190.0,1.0,151000.0,2.0,75500.0,0.0,103000.0,41000.0,0.0,,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060540011_622005,15072.269618681972,,,,,,,,,,,,,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060540011_622007,13286.888901048918,2025.0,6.0,33380.0,1.0,182000.0,2.0,91000.0,70000.0,44000.0,48000.0,0.0,,2,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060540011_622010,9993.007364502604,,,,,,,,,,,,,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060540011_622015,16306.68774633455,2025.0,6.0,11240.0,1.0,156000.0,2.0,78000.0,0.0,68000.0,8000.0,0.0,,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622027,20805.862780933745,2025.0,6.0,31150.0,1.0,97998.0,3.0,32666.0,0.0,67998.0,30000.0,0.0,,1,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622031,10153.973713077394,2025.0,6.0,31070.0,1.0,120000.0,2.0,60000.0,0.0,85000.0,35000.0,0.0,,2,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622037,15072.269618681972,,,,,,,,,,,,,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622042,10153.973713077394,2025.0,6.0,36020.0,1.0,805000.0,4.0,201250.0,120000.0,415000.0,270000.0,0.0,,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201250.0,0.0,0.0,0.0,2025
23060543021_622046,18747.294603153237,,,,,,,,,,,,,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622050,4592.440455095316,2025.0,6.0,34040.0,1.0,98000.0,2.0,49000.0,0.0,43000.0,35000.0,0.0,,2,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622052,18747.294603153237,,,,,,,,,,,,,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622055,13324.009819336805,,,,,,,,,,,,,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622066,13286.888901048918,,,,,,,,,,,,,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
23060543021_622083,20805.862780933745,2025.0,6.0,32010.0,1.0,122997.0,3.0,40999.0,0.0,73998.0,33999.0,0.0,,1,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622109,9650.474613885825,,,,,,,,,,,,,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622117,6415.725484831374,2025.0,6.0,11140.0,1.0,50600.0,1.0,50600.0,0.0,17000.0,3600.0,0.0,,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622119,20092.69514807238,,,,,,,,,,,,,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622128,14708.885219508911,2025.0,6.0,11010.0,1.0,60400.0,1.0,60400.0,0.0,22000.0,3400.0,0.0,,2,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622131,13626.086922818557,,,,,,,,,,,,,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622141,17740.09701428278,2025.0,6.0,32320.0,2.0,300000.0,4.0,75000.0,0.0,70000.0,60000.0,0.0,,2,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622144,4848.679186507232,2025.0,6.0,11110.0,3.0,50000.0,1.0,50000.0,,,,,,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622145,5681.151158249307,2025.0,6.0,11160.0,1.0,62000.0,5.0,12400.0,0.0,37500.0,12000.0,0.0,,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622155,10498.49295562204,2025.0,6.0,34370.0,3.0,200000.0,2.0,100000.0,,,,,,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055006A_622158,12831.450969662748,2025.0,6.0,11120.0,1.0,20000.0,1.0,20000.0,0.0,10000.0,10000.0,0.0,,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055007A_670411,17909.454545454548,2025.0,8.0,11150.0,3.0,200001.0,3.0,66667.0,,,,,,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
2306055007A_670412,14686.878761903112,2025.0,8.0,31090.0,1.0,190002.0,3.0,63334.0,0.0,129999.0,20001.0,0.0,,2,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
