지역,월,표본수_n,방문건수_가중합,1인평균지출_가중평균,1인평균지출_중앙값
강원,1,622.0,8110129.357594758,160003.81637493565,137500.0
강원,2,560.0,6785949.075592544,157525.4322759946,124750.0
강원,3,567.0,6683347.82911148,153103.6536642936,104000.0
강원,4,560.0,6428722.709058491,153219.67315128248,107250.0
강원,5,681.0,8730673.00690179,157687.84504931566,125000.0
강원,6,669.0,8249391.80719131,159118.09874564232,120000.0
강원,7,842.0,10577772.861394655,190210.69955910413,155000.0
강원,8,904.0,11494791.384071298,194420.71358955037,156458.5
강원,9,657.0,8608171.360176792,162667.9785480711,125000.0
강원,10,702.0,8955557.353834862,170017.56409483263,125000.0
강원,11,613.0,7247234.201207606,155671.55130998782,110000.0
강원,12,690.0,8765132.456788624,164883.0150398654,131000.0
경기,1,886.0,12635599.486347372,73550.01637847944,60000.0
경기,2,855.0,12646465.042358235,74101.79546033934,57750.0
경기,3,890.0,12889871.805084622,71514.38033551969,50625.0
경기,4,982.0,14169105.80254536,73124.33207343589,50001.0
경기,5,1015.0,14942052.338709395,72349.32589122752,57500.0
경기,6,957.0,14341487.27351002,74311.99217131225,54250.0
경기,7,906.0,13157416.64443879,82821.30803765463,62500.0
경기,8,881.0,12801665.189882947,85232.71380445364,66667.0
경기,9,921.0,13333953.22492408,73267.2127096313,52500.0
경기,10,940.0,13516189.387209646,73700.9943287789,50500.0
경기,11,890.0,13455089.201697823,72718.33291250473,51400.0
경기,12,851.0,12439323.301544309,76706.8366480641,58000.0
경남,1,665.0,6920006.727382094,103653.41425390047,75000.0
경남,2,575.0,5831055.731819857,99867.97748262718,75000.0
경남,3,720.0,7123226.194760447,105054.08268661266,75000.0
경남,4,662.0,6719208.640250981,104960.07711646084,75000.0
경남,5,733.0,7230856.309260785,103779.35979795035,75000.0
경남,6,622.0,6230747.778624886,102476.44475141582,79375.0
경남,7,654.0,6668938.4577326905,120669.96072025495,89042.0
경남,8,748.0,7376945.082545377,124410.17015843891,97750.0
경남,9,701.0,7424184.2095850855,97036.33567270826,75000.0
경남,10,707.0,7351745.757335139,108545.90884092885,80250.0
경남,11,615.0,5988179.162336602,109411.05310893776,85001.0
경남,12,600.0,5981634.933793713,116187.00014149475,83333.0
경북,1,622.0,5836469.001355781,113559.31881554339,81125.0
경북,2,617.0,5601648.640564027,111416.42327397889,76666.0
경북,3,610.0,6089235.092804258,128787.49189114278,75000.0
경북,4,634.0,5995406.067194106,118848.56625614173,71650.0
경북,5,665.0,6248758.331198627,133763.79854681384,75000.0
경북,6,632.0,5864787.709365042,115508.14481355551,75000.0
경북,7,607.0,5688325.015882354,116374.16934824751,77000.0
경북,8,630.0,5884926.184937365,122064.11258034506,90000.0
경북,9,739.0,6872656.665357983,114362.97465216846,75000.0
경북,10,750.0,7000913.265561074,117364.72733920437,80000.0
경북,11,618.0,5633727.52263859,112813.35316773006,78000.0
경북,12,598.0,5852790.201844299,117189.09659707425,80200.0
광주,1,94.0,802863.1115395265,107545.0647450807,80450.0
광주,2,77.0,586373.4785425846,135685.92715278556,100000.0
광주,3,49.0,384829.8347303131,115466.32655742521,103500.0
광주,4,60.0,479339.4731145067,133672.80278565135,87500.5
광주,5,64.0,508995.3354682138,109317.73174152794,80000.0
광주,6,63.0,453512.1026974196,131026.3360874081,85500.0
